Year,V6 Percent,Initial Probability,Quantile,Mean Profit Percent Change,Sprays in May,Market Demand,Simulation
2014,0.25,1e-05,0.2,-0.047030779030265805,10,high,0
2014,0.25,1e-05,0.4,0.016576882404124,0,high,0
2014,0.25,1e-05,0.4,-0.19987524291772943,1,high,0
2014,0.25,1e-05,0.4,-0.04251815435370655,2,high,0
2014,0.25,1e-05,0.4,0.004712828236721852,3,high,0
2014,0.25,1e-05,0.4,-0.0855535798889518,4,high,0
2014,0.25,1e-05,0.4,-0.06421886442970119,5,high,0
2014,0.25,1e-05,0.4,-0.026715370910168314,6,high,0
2014,0.25,1e-05,0.4,-0.04635246452388167,7,high,0
2014,0.25,1e-05,0.4,0.1334337343330653,8,high,0
2014,0.25,1e-05,0.4,-0.08220195842028036,9,high,0
2014,0.25,1e-05,0.4,-0.2211822281684488,10,high,0
2014,0.25,1e-05,0.6,-0.02225820194575656,0,high,0
2014,0.25,1e-05,0.6,0.0656188985748496,1,high,0
2014,0.25,1e-05,0.6,-0.09968676075932624,2,high,0
2014,0.25,1e-05,0.6,-0.1587572239258494,3,high,0
2014,0.25,1e-05,0.6,-0.35218221904261104,4,high,0
2014,0.25,1e-05,0.6,0.04057481593858645,5,high,0
2014,0.25,1e-05,0.6,-0.38006389008692626,6,high,0
2014,0.25,1e-05,0.6,0.01274773529230003,7,high,0
2014,0.25,1e-05,0.6,0.09443096351706527,8,high,0
2014,0.25,1e-05,0.6,-0.44326032813548666,9,high,0
2014,0.25,1e-05,0.6,-0.14222316388213135,10,high,0
2014,0.25,1e-05,0.8,-0.19490271402997128,0,high,0
2014,0.25,1e-05,0.8,-0.26137940518673347,1,high,0
2014,0.25,1e-05,0.8,-0.07421257477173425,2,high,0
2014,0.25,1e-05,0.8,0.052707035081708375,3,high,0
2014,0.25,1e-05,0.8,-0.28105471931361153,4,high,0
2014,0.25,1e-05,0.8,0.06770490879172517,5,high,0
2014,0.25,1e-05,0.8,-0.10901769184560946,6,high,0
2014,0.25,1e-05,0.8,0.08583760198794196,7,high,0
2014,0.25,1e-05,0.8,-0.2038886303579021,8,high,0
2014,0.25,1e-05,0.8,-0.38313724116511205,9,high,0
